External_Id__c,Owner.External_Id__c,Status,FirstName,LastName,CreatedDate__c,ConvertedDate__c,Title,Salutation,LeadSource,Industry
W_Lead.24,W_User.18,Open,Terry,Carr,2016-12-13 17:50:34,2017-02-12 17:50:34,Chief Design Engineer,Mrs,Website,Environmental
W_Lead.25,W_User.14,Draft,Ryan,Harrison,2016-11-09 11:44:43,2017-05-01 11:44:43,Recruiter,Mrs,Social Media,Chemicals
W_Lead.26,W_User.3,Submitted,Kevin,Carr,2016-07-01 16:20:25,2016-09-15 16:20:25,Civil Engineer,Ms,Website,Apparel
W_Lead.27,W_User.10,Draft,Billy,Murphy,2016-07-20 15:33:23,2016-12-04 15:33:23,Staff Scientist,Rev,Social Media,Food & Beverage
W_Lead.28,W_User.9,Working,Philip,Knight,2017-01-30 10:08:29,2017-04-22 10:08:29,Social Worker,Honorable,Referral,Energy
W_Lead.29,W_User.9,Archived,Donald,Lynch,2016-07-27 05:05:47,2016-10-13 05:05:47,Associate Professor,Rev,Cold Call,Environmental
W_Lead.30,W_User.13,Qualified - Convert,Richard,Wilson,2016-08-17 18:54:33,2016-12-10 18:54:33,Environmental Specialist,Dr,Marketing Event,Media
W_Lead.31,W_User.15,Open,Jerry,Vasquez,2016-11-14 23:58:56,2017-05-17 23:58:56,Design Engineer,Ms,Marketing Event,Entertainment
W_Lead.32,W_User.17,Submitted,Joseph,Chapman,2016-10-22 07:41:14,2016-11-14 07:41:14,GIS Technical Architect,Rev,Partner,Hospitality
W_Lead.33,W_User.15,Submitted,Phillip,Stevens,2016-11-15 02:20:54,2017-01-14 02:20:54,Health Coach IV,Mr,Marketing Event,Insurance
W_Lead.34,W_User.2,Archived,Victor,Hill,2016-10-07 05:18:30,2017-02-26 05:18:30,VP Sales,Mrs,Social Media,Electronics
W_Lead.35,W_User.19,Approved,Jesse,Hart,2016-11-12 14:39:09,2017-04-16 14:39:09,Executive Secretary,Honorable,Website,Finance
W_Lead.36,W_User.13,Submitted,Eric,Black,2016-10-08 15:47:41,2016-11-02 15:47:41,Cost Accountant,Dr,Referral,Media
W_Lead.37,W_User.20,Archived,Louis,Hall,2016-11-26 17:15:46,2017-01-14 17:15:46,Staff Accountant I,Dr,Website,Engineering
W_Lead.38,W_User.18,Submitted,Johnny,Henderson,2017-01-04 09:30:18,2017-04-20 09:30:18,GIS Technical Architect,Rev,Website,Finance
W_Lead.39,W_User.10,Approved,Sean,Weaver,2016-10-25 02:25:07,2017-01-21 02:25:07,Geological Engineer,Rev,Marketing Event,Energy
W_Lead.40,W_User.10,Approved,Joseph,Marshall,2016-09-12 09:14:00,2017-03-07 09:14:00,Assistant Professor,Honorable,Cold Call,Food & Beverage
W_Lead.41,W_User.1,Open,Wayne,Little,2016-07-22 20:29:06,2017-02-07 20:29:06,Environmental Specialist,Dr,Inbound Call,Government
W_Lead.42,W_User.17,Rejected,Kevin,Harris,2016-10-13 07:16:34,2016-11-11 07:16:34,Compensation Analyst,Mrs,Social Media,Government
W_Lead.43,W_User.19,Approved,Todd,Mills,2016-10-04 18:22:36,2017-02-26 18:22:36,VP Marketing,Ms,Data.com,Entertainment
W_Lead.44,W_User.20,Submitted,Justin,Richardson,2016-12-18 01:27:35,2017-07-14 01:27:35,Statistician I,Dr,Inbound Call,Apparel
W_Lead.45,W_User.1,Open,Gary,Rivera,2016-07-30 08:57:27,2016-10-10 08:57:27,Assistant Manager,Dr,Cold Call,Engineering
W_Lead.46,W_User.15,Qualified - Convert,Stephen,Gomez,2016-12-29 01:18:12,2017-01-13 01:18:12,Web Designer I,Mr,Social Media,Government
W_Lead.47,W_User.19,Submitted,Kenneth,Bishop,2016-10-16 06:37:22,2017-01-02 06:37:22,Editor,Rev,Referral,Consulting
W_Lead.48,W_User.18,Rejected,Lawrence,Ortiz,2016-11-11 20:49:40,2016-12-02 20:49:40,Product Engineer,Mrs,Social Media,Consulting
W_Lead.49,W_User.16,Pending,Michael,Crawford,2017-01-25 00:25:01,2017-06-26 00:25:01,Financial Analyst,Honorable,Inbound Call,Consulting
W_Lead.50,W_User.11,Archived,Willie,Price,2017-01-02 09:04:54,2017-05-19 09:04:54,Business Systems Development Analyst,Mr,Social Media,Food & Beverage
W_Lead.51,W_User.20,Open,Antonio,Burton,2016-08-21 09:23:18,2017-01-21 09:23:18,Software Engineer IV,Honorable,Inbound Call,Technology
W_Lead.52,W_User.2,Open,Fred,Edwards,2016-11-11 10:20:23,2017-04-11 10:20:23,Registered Nurse,Mr,Inbound Call,Electronics
W_Lead.53,W_User.14,Rejected,Donald,Robinson,2016-12-24 22:40:53,2017-06-03 22:40:53,Chemical Engineer,Mrs,Partner,Transportation
W_Lead.54,W_User.6,Pending,Harold,White,2016-11-25 17:18:56,2017-01-25 17:18:56,Programmer Analyst III,Ms,Inbound Call,Finance
W_Lead.55,W_User.5,Submitted,Ronald,Holmes,2016-09-13 10:07:05,2016-10-15 10:07:05,Information Systems Manager,Dr,Marketing Event,Machinery
W_Lead.56,W_User.5,Submitted,Andrew,Carroll,2016-07-19 06:26:36,2016-09-20 06:26:36,Cost Accountant,Ms,Referral,Healthcare & Life Sciences
W_Lead.57,W_User.14,Working,Gregory,Lane,2016-08-20 07:32:04,2017-03-10 07:32:04,Web Developer III,Rev,Website,Hospitality
W_Lead.58,W_User.19,Open,Samuel,Boyd,2016-07-26 05:38:36,2016-09-27 05:38:36,Actuary,Dr,Social Media,Machinery
W_Lead.59,W_User.11,Qualified - Convert,Lawrence,Carter,2016-07-17 21:53:15,2016-09-08 21:53:15,Actuary,Mr,Partner,Apparel
W_Lead.60,W_User.8,Pending,Harry,Hudson,2016-09-20 17:54:41,2017-02-28 17:54:41,Financial Analyst,Ms,Partner,Government
W_Lead.61,W_User.11,Archived,Kevin,Reynolds,2017-01-20 07:34:48,2017-03-18 07:34:48,Recruiter,Mrs,Marketing Event,Transportation
W_Lead.62,W_User.8,Pending,Justin,Fox,2017-01-23 21:51:48,2017-03-12 21:51:48,Senior Quality Engineer,Honorable,Cold Call,Apparel
W_Lead.63,W_User.3,Qualified - Convert,Richard,Gonzalez,2017-01-09 18:05:53,2017-06-08 18:05:53,Marketing Manager,Ms,Inbound Call,Insurance
W_Lead.64,W_User.1,Working,Nicholas,Burton,2016-12-24 15:16:34,2017-04-23 15:16:34,Geological Engineer,Ms,Referral,Finance
W_Lead.65,W_User.10,Archived,Aaron,Morrison,2016-12-16 15:00:18,2017-04-09 15:00:18,Computer Systems Analyst II,Ms,Website,Media
W_Lead.66,W_User.11,Rejected,George,Montgomery,2016-10-24 20:54:10,2017-01-10 20:54:10,Human Resources Assistant IV,Honorable,Data.com,Insurance
W_Lead.67,W_User.5,Qualified - Convert,Alan,Ortiz,2016-09-28 19:53:35,2017-04-17 19:53:35,Financial Advisor,Mrs,Cold Call,Agriculture
W_Lead.68,W_User.9,Approved,Dennis,Thomas,2016-09-08 02:41:58,2016-11-23 02:41:58,Human Resources Assistant I,Mrs,Data.com,Engineering
W_Lead.69,W_User.15,Submitted,Randy,Scott,2016-12-17 19:05:52,2017-05-20 19:05:52,Research Associate,Dr,Partner,Banking
W_Lead.70,W_User.18,Working,Harry,Robertson,2016-11-09 00:30:10,2017-06-05 00:30:10,Recruiting Manager,Dr,Data.com,Environmental
W_Lead.71,W_User.17,Working,Roy,Ray,2016-08-24 10:27:16,2016-11-25 10:27:16,Paralegal,Honorable,Community,Chemicals
W_Lead.72,W_User.14,Pending,Ryan,Price,2016-08-11 12:42:00,2017-03-01 12:42:00,Marketing Manager,Rev,Data.com,Government
W_Lead.73,W_User.13,Qualified - Convert,Martin,Alvarez,2016-12-15 01:47:45,2017-07-02 01:47:45,Automation Specialist IV,Ms,Referral,Government
W_Lead.74,W_User.1,Approved,Albert,Moreno,2016-10-25 07:00:40,2016-12-09 07:00:40,Electrical Engineer,Mrs,Cold Call,Energy
W_Lead.75,W_User.16,Archived,Joseph,Cunningham,2016-10-27 11:15:53,2016-12-24 11:15:53,Internal Auditor,Ms,Website,Communications
W_Lead.76,W_User.6,Rejected,Fred,Campbell,2016-11-27 11:50:13,2017-03-14 11:50:13,Pharmacist,Mrs,Referral,Government
W_Lead.77,W_User.13,Open,Carl,Hamilton,2016-12-28 14:13:03,2017-02-03 14:13:03,Tax Accountant,Honorable,Social Media,Insurance
W_Lead.78,W_User.13,Open,Edward,Lane,2016-07-07 05:51:32,2016-10-21 05:51:32,Environmental Tech,Dr,Community,Chemicals
W_Lead.79,W_User.9,Archived,Daniel,Burns,2016-10-31 10:49:33,2016-11-20 10:49:33,Social Worker,Mrs,Social Media,Government
W_Lead.80,W_User.12,Submitted,Harold,Montgomery,2016-09-15 07:29:06,2017-03-17 07:29:06,Administrative Assistant II,Mr,Data.com,Electronics
W_Lead.81,W_User.10,Archived,Chris,Jenkins,2016-09-03 20:52:16,2016-10-20 20:52:16,Marketing Manager,Mr,Social Media,Electronics
W_Lead.82,W_User.18,Qualified - Convert,Patrick,Wilson,2016-08-10 16:14:49,2016-12-08 16:14:49,Compensation Analyst,Mrs,Community,Apparel
W_Lead.83,W_User.7,Rejected,Raymond,Lynch,2016-10-07 05:22:56,2017-04-06 05:22:56,Registered Nurse,Rev,Community,Entertainment
W_Lead.84,W_User.18,Pending,Lawrence,Gibson,2016-11-28 11:53:52,2017-05-01 11:53:52,Administrative Assistant I,Rev,Data.com,Biotechnology
W_Lead.85,W_User.7,Rejected,Howard,Torres,2016-07-27 02:22:44,2016-10-06 02:22:44,Account Coordinator,Mrs,Cold Call,Environmental
W_Lead.86,W_User.20,Draft,Roy,Murray,2017-01-26 22:19:01,2017-03-09 22:19:01,Senior Developer,Honorable,Website,Food & Beverage
W_Lead.87,W_User.10,Working,Phillip,Lawrence,2016-09-15 01:10:38,2017-03-23 01:10:38,Cost Accountant,Mr,Social Media,Apparel
W_Lead.88,W_User.9,Open,Christopher,Lewis,2016-10-26 22:55:54,2016-11-10 22:55:54,Human Resources Assistant IV,Ms,Community,Healthcare & Life Sciences
W_Lead.89,W_User.6,Pending,Johnny,Alvarez,2016-09-10 14:00:01,2016-12-31 14:00:01,Financial Advisor,Mr,Marketing Event,Biotechnology
W_Lead.90,W_User.9,Working,Samuel,Vasquez,2016-12-14 18:52:49,2017-02-23 18:52:49,Media Manager II,Mr,Partner,Entertainment
W_Lead.91,W_User.5,Draft,Frank,Greene,2017-01-27 02:59:14,2017-06-25 02:59:14,Assistant Professor,Ms,Community,Food & Beverage
W_Lead.92,W_User.9,Working,Nicholas,Wright,2016-07-23 20:57:52,2016-12-10 20:57:52,Tax Accountant,Dr,Social Media,Chemicals
W_Lead.93,W_User.20,Rejected,Jeremy,Chavez,2016-12-28 17:41:23,2017-02-24 17:41:23,Senior Financial Analyst,Mr,Community,Transportation
W_Lead.94,W_User.11,Approved,Bobby,Schmidt,2016-07-01 11:12:21,2017-01-02 11:12:21,Recruiting Manager,Dr,Inbound Call,Apparel
W_Lead.95,W_User.16,Working,Patrick,Webb,2016-11-24 09:22:11,2017-03-26 09:22:11,VP Accounting,Honorable,Cold Call,Finance
W_Lead.96,W_User.12,Working,Martin,Mitchell,2016-10-05 16:06:32,2017-01-18 16:06:32,Help Desk Technician,Rev,Marketing Event,Machinery
W_Lead.97,W_User.13,Open,Chris,Mccoy,2016-10-30 12:18:35,2016-12-06 12:18:35,Geologist I,Ms,Data.com,Government
W_Lead.98,W_User.19,Submitted,Raymond,Hudson,2016-08-13 11:05:26,2016-11-15 11:05:26,Graphic Designer,Ms,Inbound Call,Government
W_Lead.99,W_User.18,Submitted,Ronald,Hamilton,2016-08-26 05:48:18,2016-10-03 05:48:18,Technical Writer,Ms,Social Media,Entertainment
W_Lead.100,W_User.4,Open,Eric,Olson,2017-01-24 09:12:09,2017-07-22 09:12:09,Automation Specialist I,Ms,Cold Call,Chemicals
W_Lead.101,W_User.1,Archived,Michael,Banks,2016-07-08 01:55:59,2017-01-20 01:55:59,Business Systems Development Analyst,Honorable,Website,Finance
W_Lead.102,W_User.1,Qualified - Convert,Donald,Smith,2016-07-20 21:41:14,2016-11-25 21:41:14,Librarian,Dr,Referral,Technology
W_Lead.103,W_User.20,Open,Steven,Brooks,2016-09-15 06:09:06,2016-12-02 06:09:06,Web Designer I,Mr,Community,Biotechnology
W_Lead.104,W_User.16,Rejected,Ralph,Oliver,2016-07-14 15:58:09,2016-10-11 15:58:09,Research Assistant II,Rev,Cold Call,Banking
W_Lead.105,W_User.17,Qualified - Convert,Jeffrey,Walker,2016-10-18 08:29:21,2017-04-14 08:29:21,Sales Representative,Dr,Inbound Call,Communications
W_Lead.106,W_User.9,Rejected,Martin,Harper,2016-10-06 05:38:43,2016-11-17 05:38:43,Research Assistant II,Mrs,Referral,Communications
W_Lead.107,W_User.20,Approved,Christopher,Morales,2016-10-14 06:04:45,2016-11-18 06:04:45,Budget/Accounting Analyst III,Mr,Cold Call,Apparel
W_Lead.108,W_User.12,Open,Gregory,Scott,2016-10-28 11:37:53,2017-02-02 11:37:53,Civil Engineer,Mrs,Social Media,Energy
W_Lead.109,W_User.14,Submitted,Alan,Moreno,2016-08-13 19:31:52,2017-03-06 19:31:52,Nuclear Power Engineer,Rev,Inbound Call,Energy
W_Lead.110,W_User.18,Open,Keith,Sims,2016-10-04 00:55:04,2016-11-17 00:55:04,Senior Editor,Mr,Website,Engineering
W_Lead.111,W_User.5,Open,Mark,Barnes,2016-12-23 11:38:26,2017-07-01 11:38:26,GIS Technical Architect,Rev,Data.com,Apparel
W_Lead.112,W_User.15,Pending,Phillip,Warren,2016-08-25 21:45:12,2017-03-10 21:45:12,Civil Engineer,Honorable,Marketing Event,Biotechnology
W_Lead.113,W_User.19,Working,Keith,Perry,2017-01-14 07:19:21,2017-02-02 07:19:21,Programmer I,Mr,Inbound Call,Entertainment
W_Lead.114,W_User.12,Open,Paul,Gray,2016-12-29 15:37:19,2017-01-20 15:37:19,Mechanical Systems Engineer,Mrs,Community,Biotechnology
W_Lead.115,W_User.20,Archived,Jonathan,Howard,2016-07-31 14:53:42,2016-10-30 14:53:42,Professor,Mrs,Cold Call,Healthcare & Life Sciences
W_Lead.116,W_User.6,Archived,Victor,Mason,2017-01-16 22:48:19,2017-06-21 22:48:19,Tax Accountant,Mrs,Partner,Communications
W_Lead.117,W_User.5,Open,Jeremy,Gardner,2016-12-31 08:37:02,2017-04-12 08:37:02,Information Systems Manager,Rev,Website,Technology
W_Lead.118,W_User.20,Pending,Louis,Nguyen,2016-12-12 18:27:11,2017-06-07 18:27:11,Assistant Manager,Ms,Cold Call,Biotechnology
W_Lead.119,W_User.4,Draft,David,Duncan,2016-11-02 00:53:13,2017-04-17 00:53:13,Legal Assistant,Dr,Website,Healthcare & Life Sciences
W_Lead.120,W_User.6,Draft,Adam,Rogers,2016-12-28 06:19:39,2017-05-02 06:19:39,Research Associate,Rev,Cold Call,Entertainment
W_Lead.121,W_User.7,Qualified - Convert,William,Jenkins,2016-07-29 14:00:40,2016-08-31 14:00:40,Civil Engineer,Mr,Community,Healthcare & Life Sciences
W_Lead.122,W_User.4,Rejected,Donald,Alexander,2016-11-04 15:04:09,2017-04-18 15:04:09,Legal Assistant,Ms,Marketing Event,Communications
W_Lead.123,W_User.13,Draft,Scott,Williams,2016-11-30 08:29:11,2017-02-06 08:29:11,Staff Scientist,Honorable,Community,Technology
W_Lead.124,W_User.18,Submitted,Paul,Cox,2016-11-10 06:30:24,2016-11-30 06:30:24,Internal Auditor,Rev,Marketing Event,Consulting
W_Lead.125,W_User.3,Working,Bobby,Mcdonald,2016-08-18 18:24:31,2017-02-26 18:24:31,Desktop Support Technician,Ms,Data.com,Agriculture
W_Lead.126,W_User.9,Archived,Richard,Riley,2016-07-26 15:59:45,2016-12-01 15:59:45,Programmer Analyst I,Mrs,Data.com,Food & Beverage
W_Lead.127,W_User.19,Qualified - Convert,Patrick,Dunn,2016-10-01 00:34:35,2017-02-13 00:34:35,Community Outreach Specialist,Mr,Community,Hospitality
W_Lead.128,W_User.2,Qualified - Convert,Gregory,Washington,2016-08-12 04:23:41,2016-10-12 04:23:41,VP Product Management,Mr,Community,Chemicals
W_Lead.129,W_User.9,Approved,Jerry,Franklin,2016-09-08 12:41:35,2017-01-24 12:41:35,Analyst Programmer,Mr,Inbound Call,Machinery
W_Lead.130,W_User.19,Approved,Gregory,Dean,2016-08-27 00:34:43,2016-10-02 00:34:43,Account Coordinator,Ms,Data.com,Biotechnology
W_Lead.131,W_User.20,Rejected,Antonio,Harrison,2016-10-18 22:27:11,2017-03-09 22:27:11,Payment Adjustment Coordinator,Dr,Partner,Healthcare & Life Sciences
W_Lead.132,W_User.6,Working,Joe,Romero,2016-07-01 23:18:27,2016-07-26 23:18:27,Environmental Specialist,Dr,Partner,Consulting
W_Lead.133,W_User.4,Rejected,Terry,Mcdonald,2017-01-22 07:51:41,2017-03-04 07:51:41,Accountant III,Dr,Cold Call,Media
W_Lead.134,W_User.3,Approved,Philip,Gibson,2016-08-17 02:20:18,2017-02-24 02:20:18,Community Outreach Specialist,Rev,Social Media,Media
W_Lead.135,W_User.5,Qualified - Convert,Frank,Mccoy,2017-01-26 06:34:44,2017-02-15 06:34:44,Payment Adjustment Coordinator,Honorable,Data.com,Hospitality
W_Lead.136,W_User.7,Submitted,Scott,Rivera,2016-11-16 00:04:31,2017-03-18 00:04:31,Chemical Engineer,Honorable,Inbound Call,Entertainment
W_Lead.137,W_User.19,Qualified - Convert,Anthony,Greene,2016-10-06 01:50:22,2016-10-22 01:50:22,Registered Nurse,Mrs,Marketing Event,Insurance
W_Lead.138,W_User.4,Working,Daniel,Clark,2016-11-02 08:49:18,2017-01-22 08:49:18,Assistant Professor,Honorable,Website,Entertainment
W_Lead.139,W_User.15,Pending,Edward,Hunter,2017-01-05 05:25:42,2017-05-27 05:25:42,Web Developer III,Honorable,Inbound Call,Insurance
W_Lead.140,W_User.2,Pending,Frank,Wells,2016-09-20 17:33:18,2016-11-04 17:33:18,Geological Engineer,Mr,Marketing Event,Machinery
W_Lead.141,W_User.2,Working,Jesse,Morrison,2017-01-11 11:26:46,2017-05-24 11:26:46,Community Outreach Specialist,Honorable,Data.com,Consulting
W_Lead.142,W_User.2,Rejected,Paul,Hudson,2016-09-11 12:49:15,2017-01-29 12:49:15,Research Associate,Dr,Social Media,Machinery
W_Lead.143,W_User.13,Submitted,Robert,Jones,2016-07-12 21:15:13,2016-11-03 21:15:13,Analyst Programmer,Dr,Data.com,Healthcare & Life Sciences
W_Lead.144,W_User.11,Submitted,Wayne,Ross,2016-07-15 11:21:21,2016-10-07 11:21:21,Civil Engineer,Ms,Community,Insurance
W_Lead.145,W_User.7,Rejected,Joshua,Greene,2017-01-17 16:50:36,2017-07-30 16:50:36,Assistant Media Planner,Dr,Website,Chemicals
W_Lead.146,W_User.15,Rejected,James,Mccoy,2016-08-25 17:40:12,2016-09-18 17:40:12,Project Manager,Mrs,Partner,Agriculture
W_Lead.147,W_User.19,Qualified - Convert,Steven,Spencer,2016-09-14 14:57:32,2016-10-23 14:57:32,Product Engineer,Rev,Partner,Healthcare & Life Sciences
W_Lead.148,W_User.9,Open,David,Banks,2017-01-15 17:26:19,2017-06-15 17:26:19,Director of Sales,Dr,Referral,Apparel
W_Lead.149,W_User.16,Approved,Paul,Martinez,2016-12-06 20:32:50,2017-05-03 20:32:50,Nurse Practicioner,Rev,Partner,Entertainment
W_Lead.150,W_User.3,Approved,George,Walker,2016-09-14 21:13:28,2017-04-10 21:13:28,Executive Secretary,Mr,Website,Consulting
W_Lead.151,W_User.3,Rejected,Albert,Cook,2016-12-12 03:56:24,2017-06-14 03:56:24,Senior Developer,Dr,Website,Consulting
W_Lead.152,W_User.13,Open,Robert,George,2016-07-10 16:13:58,2016-12-08 16:13:58,Help Desk Technician,Rev,Community,Agriculture
W_Lead.153,W_User.11,Open,Earl,Johnson,2017-01-07 23:37:26,2017-02-18 23:37:26,Information Systems Manager,Ms,Inbound Call,Media
W_Lead.154,W_User.5,Submitted,Daniel,Miller,2016-08-23 05:39:49,2016-09-18 05:39:49,Cost Accountant,Dr,Inbound Call,Technology
W_Lead.155,W_User.4,Qualified - Convert,Justin,Hawkins,2016-07-26 05:36:08,2016-12-05 05:36:08,Structural Engineer,Rev,Community,Banking
W_Lead.156,W_User.16,Approved,Roger,Castillo,2016-08-04 08:03:28,2017-01-20 08:03:28,Senior Quality Engineer,Dr,Cold Call,Banking
W_Lead.157,W_User.13,Working,Albert,Fisher,2016-10-19 09:59:18,2016-11-22 09:59:18,Librarian,Honorable,Cold Call,Media
W_Lead.158,W_User.7,Working,Frank,Ruiz,2016-08-02 21:52:12,2016-12-17 21:52:12,Geologist II,Mr,Community,Transportation
W_Lead.159,W_User.6,Rejected,Steve,Kim,2016-07-29 18:41:31,2016-08-29 18:41:31,Engineer I,Mr,Social Media,Transportation
W_Lead.160,W_User.13,Submitted,Martin,Kennedy,2016-08-25 16:21:06,2016-12-11 16:21:06,Help Desk Technician,Dr,Referral,Banking
W_Lead.161,W_User.7,Draft,Charles,Gutierrez,2016-08-28 13:57:59,2016-11-18 13:57:59,Web Designer IV,Mr,Cold Call,Machinery
W_Lead.162,W_User.5,Archived,Andrew,Barnes,2016-09-22 20:40:39,2016-11-24 20:40:39,Teacher,Honorable,Social Media,Biotechnology
W_Lead.163,W_User.20,Approved,Nicholas,Patterson,2016-09-10 09:07:03,2016-10-04 09:07:03,Research Assistant III,Mr,Inbound Call,Communications
W_Lead.164,W_User.13,Draft,Aaron,Butler,2016-08-11 15:08:09,2016-12-10 15:08:09,Assistant Professor,Honorable,Community,Hospitality
W_Lead.165,W_User.16,Rejected,Jerry,Robinson,2016-08-14 02:20:00,2017-02-25 02:20:00,Sales Representative,Honorable,Social Media,Insurance
W_Lead.166,W_User.18,Archived,Steven,Torres,2017-01-26 16:16:58,2017-03-14 16:16:58,Quality Engineer,Mr,Social Media,Banking
W_Lead.167,W_User.11,Rejected,Steve,Knight,2016-12-31 19:50:28,2017-03-22 19:50:28,Design Engineer,Honorable,Referral,Biotechnology
W_Lead.168,W_User.12,Qualified - Convert,Phillip,Warren,2016-10-27 21:00:05,2016-12-17 21:00:05,Pharmacist,Ms,Website,Insurance
W_Lead.169,W_User.20,Submitted,Jose,Carter,2017-01-28 08:41:49,2017-06-17 08:41:49,Nurse Practicioner,Dr,Referral,Chemicals
W_Lead.170,W_User.6,Pending,Keith,Fox,2016-11-12 04:35:49,2017-02-09 04:35:49,Professor,Dr,Website,Chemicals
W_Lead.171,W_User.4,Approved,Edward,Morgan,2016-08-23 07:34:02,2017-01-19 07:34:02,Analyst Programmer,Ms,Social Media,Communications
W_Lead.172,W_User.10,Qualified - Convert,Harold,Woods,2017-01-26 06:38:15,2017-07-09 06:38:15,VP Accounting,Ms,Website,Insurance
W_Lead.173,W_User.11,Pending,Victor,Carr,2016-12-22 05:46:45,2017-03-16 05:46:45,Staff Accountant III,Rev,Cold Call,Media
W_Lead.174,W_User.19,Working,Brian,Warren,2016-12-09 19:14:51,2017-05-13 19:14:51,Sales Associate,Honorable,Referral,Transportation
W_Lead.175,W_User.14,Rejected,Sean,Nguyen,2016-07-03 00:37:36,2016-10-27 00:37:36,Quality Control Specialist,Mrs,Website,Electronics
W_Lead.176,W_User.2,Submitted,Michael,Wagner,2016-12-06 19:57:25,2016-12-21 19:57:25,Junior Executive,Mrs,Data.com,Agriculture
W_Lead.177,W_User.19,Rejected,Craig,Reid,2016-11-04 02:54:22,2017-02-11 02:54:22,Chemical Engineer,Mr,Cold Call,Food & Beverage
W_Lead.178,W_User.5,Draft,Sean,Bowman,2016-11-25 01:58:20,2017-03-17 01:58:20,Senior Cost Accountant,Honorable,Data.com,Agriculture
W_Lead.179,W_User.9,Working,Todd,Ferguson,2016-12-24 22:30:09,2017-02-23 22:30:09,Design Engineer,Ms,Cold Call,Chemicals
W_Lead.180,W_User.11,Rejected,Steve,James,2016-10-25 20:57:48,2016-11-14 20:57:48,Accountant II,Honorable,Marketing Event,Government
