ConvertedOpportunity.External_Id__c,LeadSource,ConvertedAccount.External_Id__c,Owner.External_Id__c,ConvertedDate__c,CreatedDate__c,External_Id__c,Status,IsConverted,ConvertedContact.External_Id__c,FirstName,LastName,Company,Industry,State,IsUnreadByOwner,Rating
,Fields Sales,,W_Sales_User.8,,2016-08-23 00:00:00,W_Lead.21,Working,false,,Kathryn,Haynes,,,,false,Warm
,Fields Sales,,W_Sales_User.1,,2017-02-10 00:00:00,W_Lead.22,Working,false,,Cynthia,Lee,,,,true,Warm
,Telesales,,W_Sales_User.3,,2015-06-21 00:00:00,W_Lead.23,Pending,false,,Kaitlin,Booth,,,,false,Warm
,Reseller,,W_Sales_User.10,,2017-01-22 00:00:00,W_Lead.24,Contacted,false,,William,Cooper,,,,false,Cool
,Fields Sales,,W_Sales_User.4,,2017-03-27 00:00:00,W_Lead.25,Pending,false,,Michelle,Kaufman,,,,true,Cool
,Reseller,,W_Sales_User.10,,2016-05-30 00:00:00,W_Lead.26,New,false,,Timothy,Goodman,,,,false,Warm
W_Opportunity.6159,Fields Sales,W_Account.239,W_Sales_User.1,2015-11-09,2015-07-25 00:00:00,W_Lead.27,Qualified - Convert,true,W_Contact.239,Stacie,Williams,Constellation Energy,Energy,HI,false,Hot
,Reseller,,W_Sales_User.7,,2015-09-20 00:00:00,W_Lead.28,Archived,false,,Lawrence,Parker,,,,true,Warm
,Reseller,,W_Sales_User.11,,2016-05-31 00:00:00,W_Lead.29,Pending,false,,Travis,Spencer,,,,true,Warm
,Fields Sales,,W_Sales_User.6,,2016-09-12 00:00:00,W_Lead.30,Working,false,,Brian,Charles,,,,true,Cool
,Fields Sales,,W_Sales_User.2,,2015-08-24 00:00:00,W_Lead.31,Contacted,false,,Amy,White,,,,true,Warm
,Reseller,,W_Sales_User.5,,2017-03-21 00:00:00,W_Lead.32,Archived,false,,Ryan,Schneider,,,,true,Cool
,Reseller,,W_Sales_User.2,,2015-11-29 00:00:00,W_Lead.33,Pending,false,,Tyler,Williams,,,,true,Hot
,Reseller,,W_Sales_User.11,,2016-09-15 00:00:00,W_Lead.34,Submitted,false,,Matthew,Ross,,,,true,Warm
,Reseller,,W_Sales_User.6,,2016-02-07 00:00:00,W_Lead.35,Working,false,,Deborah,Wright,,,,true,Hot
W_Opportunity.7532,Reseller,W_Account.291,W_Sales_User.5,2016-05-11,2016-03-05 00:00:00,W_Lead.36,Qualified - Convert,true,W_Contact.291,Pamela,Clark,Business Control Systems,Apparel,UT,false,Cool
,Fields Sales,,W_Sales_User.5,,2016-07-24 00:00:00,W_Lead.37,Approved,false,,Kara,Evans,,,,true,Hot
,Reseller,,W_Sales_User.2,,2016-08-23 00:00:00,W_Lead.38,Approved,false,,Adam,Salazar,,,,false,Warm
,Reseller,,W_Sales_User.3,,2015-11-25 00:00:00,W_Lead.39,New,false,,Janice,Patterson,,,,false,Cool
,Reseller,,W_Sales_User.6,,2016-11-12 00:00:00,W_Lead.40,Rejected,false,,Tyler,Chen,,,,false,Cool
,Fields Sales,,W_Sales_User.2,,2017-03-09 00:00:00,W_Lead.41,Archived,false,,Timothy,Reyes,,,,true,Warm
,Fields Sales,,W_Sales_User.8,,2016-05-22 00:00:00,W_Lead.42,Draft,false,,Barry,Miller,,,,true,Hot
,Telesales,,W_Sales_User.7,,2016-03-04 00:00:00,W_Lead.43,Archived,false,,Virginia,Ramirez,,,,false,Warm
,Reseller,,W_Sales_User.10,,2017-01-17 00:00:00,W_Lead.44,Draft,false,,Kevin,Miller,,,,false,Cool
,Reseller,,W_Sales_User.9,,2016-09-08 00:00:00,W_Lead.45,Pending,false,,Frank,Woods,,,,true,Cool
,Reseller,,W_Sales_User.11,,2015-11-06 00:00:00,W_Lead.46,Approved,false,,Anna,Sanchez,,,,true,Cool
,Fields Sales,,W_Sales_User.8,,2015-10-11 00:00:00,W_Lead.47,Archived,false,,Paul,White,,,,true,Cool
,Reseller,,W_Sales_User.3,,2015-07-29 00:00:00,W_Lead.48,Approved,false,,Donald,Bailey,,,,true,Hot
,Reseller,,W_Sales_User.1,,2015-07-08 00:00:00,W_Lead.49,Contacted,false,,William,Cooke,,,,true,Cool
,Fields Sales,,W_Sales_User.2,,2016-04-21 00:00:00,W_Lead.50,Draft,false,,Dakota,Martinez,,,,true,Hot
W_Opportunity.9063,Fields Sales,W_Account.355,W_Sales_User.10,2017-05-13,2017-03-13 00:00:00,W_Lead.51,Qualified - Convert,true,W_Contact.355,Ricky,Levy,Mobilian Corporation,Manufacturing,IA,false,Warm
,Reseller,,W_Sales_User.3,,2017-02-12 00:00:00,W_Lead.52,Open,false,,Anthony,Harrell,,,,true,Hot
,Reseller,,W_Sales_User.7,,2015-08-27 00:00:00,W_Lead.53,Archived,false,,Eric,Perry,,,,true,Cool
,Reseller,,W_Sales_User.3,,2015-08-19 00:00:00,W_Lead.54,Working,false,,William,Wilcox,,,,true,Warm
,Reseller,,W_Sales_User.5,,2017-04-27 00:00:00,W_Lead.55,Submitted,false,,Amber,Morris,,,,true,Cool
,Reseller,,W_Sales_User.5,,2017-04-19 00:00:00,W_Lead.56,Open,false,,Dylan,Price,,,,true,Warm
W_Opportunity.9729,Reseller,W_Account.384,W_Sales_User.10,2016-02-02,2015-10-08 00:00:00,W_Lead.57,Qualified - Convert,true,W_Contact.384,Brian,Brown,Crown Logic Corp,Recreation,ND,false,Hot
W_Opportunity.9809,Reseller,W_Account.389,W_Sales_User.6,2016-04-09,2016-01-31 00:00:00,W_Lead.58,Qualified - Convert,true,W_Contact.389,Erica,Baker,Viad Corp,Shipping,WA,false,Cool
,Fields Sales,,W_Sales_User.7,,2017-05-08 00:00:00,W_Lead.59,Approved,false,,Christopher,Baxter,,,,true,Warm
,Other,,W_Sales_User.11,,2016-02-07 00:00:00,W_Lead.60,Submitted,false,,Eric,Parker,,,,true,Hot
,Reseller,,W_Sales_User.9,,2017-03-03 00:00:00,W_Lead.61,Draft,false,,Matthew,Leblanc,,,,true,Cool
,Reseller,,W_Sales_User.11,,2016-11-07 00:00:00,W_Lead.62,Rejected,false,,Ronald,Taylor,,,,true,Warm
W_Opportunity.11024,Fields Sales,W_Account.442,W_Sales_User.2,2016-11-01,2016-06-30 00:00:00,W_Lead.63,Qualified - Convert,true,W_Contact.442,Eric,Ross,Cabot Creamery Co  Operative,Chemicals,OR,false,Cool
,Telesales,,W_Sales_User.2,,2016-12-19 00:00:00,W_Lead.64,Open,false,,Marvin,Allen,,,,false,Warm
,Reseller,,W_Sales_User.9,,2015-09-18 00:00:00,W_Lead.65,Submitted,false,,Jay,Garcia,,,,true,Cool
,Fields Sales,,W_Sales_User.3,,2015-11-03 00:00:00,W_Lead.66,Submitted,false,,Scott,Alexander,,,,false,Warm
,Fields Sales,,W_Sales_User.1,,2016-06-12 00:00:00,W_Lead.67,Contacted,false,,William,King,,,,true,Warm
,Reseller,,W_Sales_User.9,,2017-03-28 00:00:00,W_Lead.68,New,false,,Austin,Wright,,,,false,Hot
,Reseller,,W_Sales_User.6,,2016-11-12 00:00:00,W_Lead.69,Open,false,,Bobby,Richardson,,,,false,Cool
W_Opportunity.12082,Telesales,W_Account.493,W_Sales_User.1,2017-06-13,2017-02-05 00:00:00,W_Lead.70,Qualified - Convert,true,W_Contact.493,Jeffrey,Silva,Timelogic,Shipping,WA,false,Cool
,Telesales,,W_Sales_User.3,,2017-03-02 00:00:00,W_Lead.71,Archived,false,,John,Green,,,,false,Cool
,Reseller,,W_Sales_User.10,,2017-02-16 00:00:00,W_Lead.72,Approved,false,,Mary,Hernandez,,,,true,Warm
,Fields Sales,,W_Sales_User.10,,2016-03-05 00:00:00,W_Lead.73,Pending,false,,Joshua,Hoover,,,,true,Cool
,Fields Sales,,W_Sales_User.1,,2016-06-02 00:00:00,W_Lead.74,Submitted,false,,Thomas,Burns,,,,true,Warm
,Fields Sales,,W_Sales_User.4,,2016-09-07 00:00:00,W_Lead.75,Working,false,,Alejandro,Greene,,,,true,Cool
W_Opportunity.12821,Fields Sales,W_Account.526,W_Sales_User.3,2016-06-08,2016-02-22 00:00:00,W_Lead.76,Qualified - Convert,true,W_Contact.526,Jennifer,Parker,Optimum Resources Group,Entertainment,HI,false,Warm
,Reseller,,W_Sales_User.6,,2015-07-22 00:00:00,W_Lead.77,New,false,,Peter,Miller,,,,true,Warm
,Fields Sales,,W_Sales_User.9,,2015-11-05 00:00:00,W_Lead.78,Pending,false,,Cody,Burns,,,,true,Cool
,Reseller,,W_Sales_User.5,,2016-05-11 00:00:00,W_Lead.79,New,false,,Cody,Hughes,,,,true,Hot
,Reseller,,W_Sales_User.6,,2016-11-06 00:00:00,W_Lead.80,Pending,false,,David,Stanton,,,,true,Hot
,Fields Sales,,W_Sales_User.5,,2016-02-11 00:00:00,W_Lead.81,New,false,,Chad,Prince,,,,true,Hot
,Fields Sales,,W_Sales_User.3,,2015-11-21 00:00:00,W_Lead.82,Approved,false,,Kathleen,Reid,,,,false,Warm
,Reseller,,W_Sales_User.10,,2016-05-01 00:00:00,W_Lead.83,Draft,false,,Alexander,Brown,,,,true,Hot
,Reseller,,W_Sales_User.7,,2016-05-04 00:00:00,W_Lead.84,Contacted,false,,Kelly,Hines,,,,true,Hot
,Reseller,,W_Sales_User.10,,2016-05-02 00:00:00,W_Lead.85,Draft,false,,Samantha,Sloan,,,,true,Warm
,Reseller,,W_Sales_User.1,,2015-09-27 00:00:00,W_Lead.86,Archived,false,,Destiny,Villegas,,,,true,Warm
W_Opportunity.14930,Fields Sales,W_Account.605,W_Sales_User.4,2015-09-17,2015-06-03 00:00:00,W_Lead.87,Qualified - Convert,true,W_Contact.605,Jenna,Dunn,"CoMedical, Inc",Recreation,OR,false,Cool
,Reseller,,W_Sales_User.9,,2016-06-25 00:00:00,W_Lead.88,Archived,false,,Stephen,Jimenez,,,,true,Warm
,Reseller,,W_Sales_User.1,,2016-05-05 00:00:00,W_Lead.89,Open,false,,Jennifer,Byrd,,,,true,Warm
W_Opportunity.15615,Other,W_Account.622,W_Sales_User.5,2017-03-16,2016-12-07 00:00:00,W_Lead.90,Qualified - Convert,true,W_Contact.622,Jenna,Lewis,Northeast Sealing,Chemicals,AK,false,Hot
,Fields Sales,,W_Sales_User.11,,2017-04-17 00:00:00,W_Lead.91,Contacted,false,,Vicki,Henderson,,,,true,Hot
,Telesales,,W_Sales_User.5,,2015-06-24 00:00:00,W_Lead.92,Archived,false,,Bethany,Shaffer,,,,true,Hot
,Reseller,,W_Sales_User.2,,2016-09-21 00:00:00,W_Lead.93,Archived,false,,Cynthia,Duran,,,,true,Warm
,Other,,W_Sales_User.2,,2015-07-15 00:00:00,W_Lead.94,Submitted,false,,David,Perez,,,,true,Cool
,Reseller,,W_Sales_User.2,,2016-08-03 00:00:00,W_Lead.95,Open,false,,Gina,Calhoun,,,,false,Warm
,Reseller,,W_Sales_User.7,,2015-10-28 00:00:00,W_Lead.96,Open,false,,Sara,Burns,,,,true,Hot
,Fields Sales,,W_Sales_User.3,,2017-05-17 00:00:00,W_Lead.97,Open,false,,Chad,Tate,,,,true,Cool
,Reseller,,W_Sales_User.7,,2015-09-27 00:00:00,W_Lead.98,Archived,false,,Michael,Rivers,,,,true,Hot
,Reseller,,W_Sales_User.4,,2017-03-11 00:00:00,W_Lead.99,Submitted,false,,Amanda,Hayden,,,,true,Cool
,Fields Sales,,W_Sales_User.11,,2015-05-13 00:00:00,W_Lead.100,New,false,,Timothy,Jones,,,,false,Warm
,Reseller,,W_Sales_User.3,,2015-09-24 00:00:00,W_Lead.101,New,false,,David,Johnson,,,,true,Cool
,Fields Sales,,W_Sales_User.4,,2016-11-16 00:00:00,W_Lead.102,Archived,false,,Lisa,Nelson,,,,true,Warm
,Reseller,,W_Sales_User.1,,2016-11-30 00:00:00,W_Lead.103,Working,false,,Keith,Rivera,,,,true,Cool
,Fields Sales,,W_Sales_User.9,,2016-08-28 00:00:00,W_Lead.104,Contacted,false,,Bradley,Ford,,,,true,Hot
,Reseller,,W_Sales_User.1,,2015-05-20 00:00:00,W_Lead.105,Submitted,false,,Rose,Chen,,,,true,Hot
,Reseller,,W_Sales_User.5,,2017-01-07 00:00:00,W_Lead.106,Open,false,,Thomas,Ortiz,,,,false,Cool
,Fields Sales,,W_Sales_User.5,,2016-11-05 00:00:00,W_Lead.107,Pending,false,,Eric,Foster,,,,true,Warm
,Reseller,,W_Sales_User.9,,2016-04-14 00:00:00,W_Lead.108,Contacted,false,,Travis,Brown,,,,true,Hot
,Reseller,,W_Sales_User.5,,2017-04-14 00:00:00,W_Lead.109,Submitted,false,,Taylor,Dean,,,,true,Warm
,Reseller,,W_Sales_User.2,,2015-05-10 00:00:00,W_Lead.110,Open,false,,Eric,Larson,,,,true,Warm
,Reseller,,W_Sales_User.4,,2015-07-14 00:00:00,W_Lead.111,Rejected,false,,Stephanie,Martinez,,,,true,Warm
,Reseller,,W_Sales_User.8,,2017-01-30 00:00:00,W_Lead.112,Working,false,,Heidi,Young,,,,true,Cool
,Reseller,,W_Sales_User.5,,2016-10-09 00:00:00,W_Lead.113,New,false,,Bradley,Austin,,,,true,Cool
,Reseller,,W_Sales_User.1,,2016-07-13 00:00:00,W_Lead.114,Open,false,,Michael,Sims,,,,true,Warm
,Fields Sales,,W_Sales_User.8,,2016-11-08 00:00:00,W_Lead.115,Submitted,false,,Morgan,Smith,,,,false,Warm
,Other,,W_Sales_User.8,,2016-12-19 00:00:00,W_Lead.116,Working,false,,Brittany,Soto,,,,false,Hot
,Reseller,,W_Sales_User.7,,2015-08-13 00:00:00,W_Lead.117,Working,false,,Gregory,Floyd,,,,false,Hot
,Reseller,,W_Sales_User.8,,2015-10-28 00:00:00,W_Lead.118,Rejected,false,,Roger,Henderson,,,,true,Warm
,Reseller,,W_Sales_User.2,,2015-08-06 00:00:00,W_Lead.119,Approved,false,,Rebecca,Dawson,,,,true,Hot
,Fields Sales,,W_Sales_User.6,,2016-01-25 00:00:00,W_Lead.120,Draft,false,,Susan,Lewis,,,,true,Warm
,Fields Sales,,W_Sales_User.1,,2017-02-01 00:00:00,W_Lead.121,Working,false,,John,Atkinson,,,,true,Cool
,Fields Sales,,W_Sales_User.4,,2016-10-11 00:00:00,W_Lead.122,New,false,,Steven,Jones,,,,true,Warm
W_Opportunity.22434,Telesales,W_Account.936,W_Sales_User.3,2015-07-29,2015-07-26 00:00:00,W_Lead.123,Qualified - Convert,true,W_Contact.936,Diana,Williams,Rimage,Chemicals,AK,false,Warm
,Reseller,,W_Sales_User.5,,2016-08-17 00:00:00,W_Lead.124,Submitted,false,,Johnny,Jackson,,,,true,Hot
,Reseller,,W_Sales_User.6,,2016-06-05 00:00:00,W_Lead.125,Rejected,false,,John,Brown,,,,true,Hot
,Reseller,,W_Sales_User.6,,2015-06-12 00:00:00,W_Lead.126,Approved,false,,Beth,Torres,,,,false,Warm
,Fields Sales,,W_Sales_User.1,,2016-04-17 00:00:00,W_Lead.127,Rejected,false,,Mary,Jones,,,,false,Hot
,Fields Sales,,W_Sales_User.5,,2016-10-08 00:00:00,W_Lead.128,Submitted,false,,Timothy,Oconnor,,,,true,Hot
,Telesales,,W_Sales_User.3,,2016-01-30 00:00:00,W_Lead.129,Archived,false,,David,Garcia,,,,true,Hot
,Reseller,,W_Sales_User.11,,2015-08-12 00:00:00,W_Lead.130,Rejected,false,,Elizabeth,Carter,,,,false,Warm
W_Opportunity.23241,Fields Sales,W_Account.975,W_Sales_User.5,2016-02-25,2015-11-23 00:00:00,W_Lead.131,Qualified - Convert,true,W_Contact.975,Jessica,Hernandez,Concrete Careers,Retail,MT,false,Cool
,Fields Sales,,W_Sales_User.5,,2015-05-02 00:00:00,W_Lead.132,Draft,false,,Louis,Garrison,,,,true,Warm
,Telecoverage,,W_Sales_User.3,,2017-01-04 00:00:00,W_Lead.133,Submitted,false,,Tiffany,Newton,,,,true,Cool
,Reseller,,W_Sales_User.8,,2015-12-06 00:00:00,W_Lead.134,New,false,,Mary,Smith,,,,true,Cool
,Reseller,,W_Sales_User.9,,2016-04-26 00:00:00,W_Lead.135,Archived,false,,Selena,Hurst,,,,true,Hot
,Reseller,,W_Sales_User.11,,2015-10-27 00:00:00,W_Lead.136,Contacted,false,,Bobby,Bray,,,,true,Warm
,Reseller,,W_Sales_User.5,,2017-04-24 00:00:00,W_Lead.137,Submitted,false,,Anthony,Gonzalez,,,,true,Warm
W_Opportunity.23766,Reseller,W_Account.1037,W_Sales_User.11,2016-12-01,2016-09-07 00:00:00,W_Lead.138,Qualified - Convert,true,W_Contact.1037,Scott,Holden,National NNN Investment Professional Edition,Machinery,CO,false,Cool
,Other,,W_Sales_User.4,,2016-05-29 00:00:00,W_Lead.139,Rejected,false,,Megan,Barton,,,,true,Cool
,Telesales,,W_Sales_User.3,,2015-06-07 00:00:00,W_Lead.140,Submitted,false,,William,Martin,,,,true,Hot
,Telesales,,W_Sales_User.2,,2016-09-05 00:00:00,W_Lead.141,Approved,false,,Steven,Olson,,,,false,Cool
,Fields Sales,,W_Sales_User.10,,2015-11-02 00:00:00,W_Lead.142,New,false,,Jason,Nunez,,,,false,Hot
,Fields Sales,,W_Sales_User.10,,2016-08-11 00:00:00,W_Lead.143,Open,false,,Katelyn,Heath,,,,false,Cool
,Reseller,,W_Sales_User.8,,2015-11-22 00:00:00,W_Lead.144,Working,false,,Dean,Gonzalez,,,,false,Warm
,Fields Sales,,W_Sales_User.7,,2015-06-16 00:00:00,W_Lead.145,Pending,false,,Rebecca,Castaneda,,,,false,Warm
,Reseller,,W_Sales_User.11,,2015-10-31 00:00:00,W_Lead.146,Rejected,false,,Jasmine,Reynolds,,,,true,Warm
,Fields Sales,,W_Sales_User.5,,2016-04-22 00:00:00,W_Lead.147,Submitted,false,,Stephanie,Mcdonald,,,,true,Cool
,Fields Sales,,W_Sales_User.6,,2015-10-03 00:00:00,W_Lead.148,Rejected,false,,Amanda,Duran,,,,true,Warm
,Reseller,,W_Sales_User.1,,2016-08-27 00:00:00,W_Lead.149,Working,false,,Marcus,Smith,,,,true,Cool
,Reseller,,W_Sales_User.7,,2016-10-14 00:00:00,W_Lead.150,Working,false,,Michael,Frey,,,,true,Hot
,Fields Sales,,W_Sales_User.1,,2017-01-01 00:00:00,W_Lead.151,Approved,false,,Phillip,Preston,,,,true,Warm
,Fields Sales,,W_Sales_User.9,,2016-07-27 00:00:00,W_Lead.152,Approved,false,,Jonathan,Boone,,,,false,Warm
W_Opportunity.24880,Fields Sales,W_Account.1151,W_Sales_User.4,2017-07-09,2017-05-04 00:00:00,W_Lead.153,Qualified - Convert,true,W_Contact.1151,Tammy,Baker,Smeal Fire Apparatus Co,Electronics,OR,false,Cool
,Fields Sales,,W_Sales_User.7,,2015-08-30 00:00:00,W_Lead.154,Archived,false,,Heather,Solis,,,,true,Cool
,Reseller,,W_Sales_User.6,,2015-09-26 00:00:00,W_Lead.155,Draft,false,,Alison,Scott,,,,true,Warm
,Reseller,,W_Sales_User.4,,2016-01-24 00:00:00,W_Lead.156,Rejected,false,,Daniel,Rodriguez,,,,false,Warm
,Fields Sales,,W_Sales_User.5,,2016-04-07 00:00:00,W_Lead.157,Open,false,,Sandra,Martinez,,,,true,Hot
,Fields Sales,,W_Sales_User.4,,2016-04-29 00:00:00,W_Lead.158,Submitted,false,,Betty,Lawson,,,,false,Cool
,Fields Sales,,W_Sales_User.6,,2016-06-16 00:00:00,W_Lead.159,Submitted,false,,Benjamin,Rodriguez,,,,true,Warm
,Reseller,,W_Sales_User.8,,2016-11-14 00:00:00,W_Lead.160,Working,false,,Clarence,Petty,,,,true,Warm
,Reseller,,W_Sales_User.8,,2016-12-17 00:00:00,W_Lead.161,Approved,false,,Carlos,Young,,,,true,Cool
,Other,,W_Sales_User.6,,2017-04-18 00:00:00,W_Lead.162,Approved,false,,Benjamin,Harris,,,,false,Cool
,Fields Sales,,W_Sales_User.1,,2015-09-19 00:00:00,W_Lead.163,Contacted,false,,Paul,Hopkins,,,,true,Hot
,Telecoverage,,W_Sales_User.3,,2015-10-19 00:00:00,W_Lead.164,Submitted,false,,Edward,Garcia,,,,true,Hot
,Fields Sales,,W_Sales_User.9,,2015-12-28 00:00:00,W_Lead.165,Open,false,,Joseph,Palmer,,,,true,Warm
,Fields Sales,,W_Sales_User.4,,2016-11-29 00:00:00,W_Lead.166,Approved,false,,Thomas,Hays,,,,true,Hot
W_Opportunity.26114,Reseller,W_Account.1279,W_Sales_User.4,2017-05-30,2017-04-28 00:00:00,W_Lead.167,Qualified - Convert,true,W_Contact.1279,Timothy,Woods,Kinex Medical Company,Consulting,NM,false,Cool
,Fields Sales,,W_Sales_User.1,,2015-11-25 00:00:00,W_Lead.168,Contacted,false,,Michelle,Boyd,,,,true,Warm
,Reseller,,W_Sales_User.5,,2015-11-18 00:00:00,W_Lead.169,Contacted,false,,Brooke,Dean,,,,true,Cool
,Fields Sales,,W_Sales_User.3,,2017-03-10 00:00:00,W_Lead.170,Open,false,,Kathleen,Long,,,,true,Warm
,Other,,W_Sales_User.4,,2016-12-06 00:00:00,W_Lead.171,Approved,false,,Julie,Nelson,,,,false,Hot
,Fields Sales,,W_Sales_User.5,,2016-06-13 00:00:00,W_Lead.172,Approved,false,,Dylan,Arnold,,,,true,Cool
,Reseller,,W_Sales_User.8,,2015-06-08 00:00:00,W_Lead.173,Approved,false,,Melanie,Brown,,,,true,Cool
,Reseller,,W_Sales_User.6,,2015-10-07 00:00:00,W_Lead.174,New,false,,Derek,Buckley,,,,false,Cool
,Reseller,,W_Sales_User.6,,2016-07-03 00:00:00,W_Lead.175,Approved,false,,Alice,Johnson,,,,false,Hot
,Reseller,,W_Sales_User.11,,2016-05-26 00:00:00,W_Lead.176,Archived,false,,Peter,Harris,,,,true,Hot
,Reseller,,W_Sales_User.7,,2016-12-04 00:00:00,W_Lead.177,Rejected,false,,James,Tanner,,,,true,Hot
,Telesales,,W_Sales_User.10,,2017-01-13 00:00:00,W_Lead.178,Approved,false,,Kim,Hess,,,,true,Cool
,Reseller,,W_Sales_User.10,,2016-05-23 00:00:00,W_Lead.179,Submitted,false,,Michele,Porter,,,,true,Warm
,Reseller,,W_Sales_User.4,,2017-01-30 00:00:00,W_Lead.180,Open,false,,James,Stewart,,,,true,Hot
,Reseller,,W_Sales_User.4,,2016-05-29 00:00:00,W_Lead.181,Rejected,false,,Whitney,Adams,,,,true,Cool
,Fields Sales,,W_Sales_User.10,,2015-06-23 00:00:00,W_Lead.182,Approved,false,,Haley,Morrison,,,,true,Warm
,Fields Sales,,W_Sales_User.11,,2016-06-23 00:00:00,W_Lead.183,Draft,false,,Tara,Jones,,,,true,Cool
,Reseller,,W_Sales_User.1,,2017-03-06 00:00:00,W_Lead.184,New,false,,Danielle,Freeman,,,,true,Cool
,Reseller,,W_Sales_User.3,,2016-02-16 00:00:00,W_Lead.185,Pending,false,,Barbara,Evans,,,,false,Cool
,Fields Sales,,W_Sales_User.6,,2015-07-10 00:00:00,W_Lead.186,Submitted,false,,Nicholas,Kirby,,,,false,Warm
,Fields Sales,,W_Sales_User.3,,2016-09-04 00:00:00,W_Lead.187,Working,false,,Lindsey,Morgan,,,,true,Cool
,Fields Sales,,W_Sales_User.9,,2016-05-01 00:00:00,W_Lead.188,Contacted,false,,Desiree,Downs,,,,false,Warm
,Fields Sales,,W_Sales_User.5,,2017-05-10 00:00:00,W_Lead.189,Working,false,,Mary,Bauer,,,,true,Warm
,Fields Sales,,W_Sales_User.2,,2015-12-08 00:00:00,W_Lead.190,New,false,,Ruth,Edwards,,,,false,Cool
W_Opportunity.27787,Fields Sales,W_Account.1469,W_Sales_User.9,2017-05-11,2017-03-22 00:00:00,W_Lead.191,Qualified - Convert,true,W_Contact.1469,Shannon,Martinez,ConnectInc.com,Hospitality,IN,false,Hot
,Other,,W_Sales_User.2,,2016-01-06 00:00:00,W_Lead.192,Archived,false,,Gordon,Moore,,,,false,Hot
,Fields Sales,,W_Sales_User.4,,2016-10-31 00:00:00,W_Lead.193,Working,false,,Olivia,Miller,,,,true,Warm
,Fields Sales,,W_Sales_User.4,,2017-01-14 00:00:00,W_Lead.194,Pending,false,,Lucas,Kelley,,,,true,Warm
,Other,,W_Sales_User.1,,2015-07-07 00:00:00,W_Lead.195,Pending,false,,Charles,Butler,,,,true,Hot
,Reseller,,W_Sales_User.5,,2015-05-18 00:00:00,W_Lead.196,Contacted,false,,Michael,Davis,,,,false,Cool
,Fields Sales,,W_Sales_User.2,,2016-04-18 00:00:00,W_Lead.197,Rejected,false,,Bruce,Collier,,,,true,Warm
,Fields Sales,,W_Sales_User.4,,2015-10-09 00:00:00,W_Lead.198,Rejected,false,,Alicia,Gordon,,,,true,Cool
