External__Id__c,Owner.External_Id__c,Account.External_Id__c,Contact.External_Id__c,CreatedDate__c,ClosedDate__c,Channel,Tier,Product_Family_KB__c,Priority,SLA,Reason,Type_of_Support__c,CSAT__c,Status,First_Contact_Close__c,Time_Open__c,Team__c,close_date_offset,account_case_ct,Offer_Voucher__c,Send_FieldService__c,IsEscalated
W_Case.26,W_Services_User.6,W_Account.48,W_Contact.48,2017-03-26 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Cell Phones,High,Compliant,Late Delivery,Basic,66.87817259,Closed,False,36,Central Sales,1,2,False,False,false
W_Case.27,W_Services_User.15,W_Account.48,W_Contact.48,2017-01-01 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Cell Phones,Medium,Violation,Late Delivery,Basic,65.65989848,Closed,True,120,East Sales,1,2,True,True,false
W_Case.28,W_Services_User.13,W_Account.50,W_Contact.50,2017-01-01 20:27:49,2017-05-01 20:27:49,Chat,Tier 3,Cell Phones,Low,Violation,Item Damaged,Basic,63.93401015,Closed,True,120,East Sales,1,4,False,True,true
W_Case.29,W_Services_User.12,W_Account.51,W_Contact.51,2017-04-07 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Computers,High,Compliant,Item Damaged,Platinum,69.09354605,Closed,False,24,East Sales,1,1,False,False,false
W_Case.30,W_Services_User.12,W_Account.56,W_Contact.56,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 3,Computers,Low,Compliant,Item Damaged,Platinum,73.04205946,Closed,True,48,East Sales,1,5,True,False,true
W_Case.31,W_Services_User.19,W_Account.56,W_Contact.56,2017-03-26 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,DVD Players,High,Compliant,Item Damaged,Silver,61.52284264,Closed,False,36,South Sales,1,5,True,False,false
W_Case.32,W_Services_User.13,W_Account.56,W_Contact.56,2017-02-18 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,DVD Players,High,Violation,Late Delivery,Silver,62.00145033,Closed,False,72,East Sales,1,5,False,True,false
W_Case.33,W_Services_User.8,W_Account.57,W_Contact.57,2017-02-18 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,DVD Players,High,Violation,Hardware Question,Silver,61.93618564,Closed,False,72,Central Sales,1,8,True,False,false
W_Case.34,W_Services_User.11,W_Account.57,W_Contact.57,2017-04-07 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,DVD Players,Medium,Compliant,Item Damaged,Silver,66.06961566,Closed,False,24,East Sales,1,8,True,True,true
W_Case.35,W_Services_User.20,W_Account.57,W_Contact.57,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Headphones,High,Compliant,Hardware Question,Silver,65.26903553,Closed,False,48,South Sales,1,8,False,False,false
W_Case.36,W_Services_User.8,W_Account.67,W_Contact.67,2017-03-26 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Home Audio,Medium,Compliant,Item Damaged,Free,68.99202321,Closed,True,36,Central Sales,1,1,False,True,true
W_Case.37,W_Services_User.6,W_Account.70,W_Contact.70,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Tablets,High,Compliant,Item Damaged,Silver,70.55837563,Closed,False,48,Central Sales,1,1,False,False,false
W_Case.38,W_Services_User.14,W_Account.71,W_Contact.71,2017-03-02 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Tablets,High,Violation,Late Delivery,Silver,69.54314721,Closed,False,60,East Sales,1,1,True,False,false
W_Case.39,W_Services_User.14,W_Account.77,W_Contact.77,2017-04-19 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Tablets,Low,Compliant,Item Damaged,Silver,75.63451777,Closed,False,12,East Sales,1,1,True,True,true
W_Case.40,W_Services_User.9,W_Account.80,W_Contact.80,2017-03-02 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,TVs,High,Violation,Item Damaged,Free,62.12110225,Closed,False,60,Central Sales,1,1,False,True,false
W_Case.41,W_Services_User.3,W_Account.81,W_Contact.81,2017-03-02 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,TVs,High,Violation,Hardware Question,Free,65.38433648,Closed,False,60,West Sales,1,1,False,False,false
W_Case.42,W_Services_User.7,W_Account.82,W_Contact.82,2017-01-25 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,TVs,Medium,Violation,Hardware Question,Free,63.26323423,Closed,False,96,Central Sales,1,1,False,True,false
W_Case.43,W_Services_User.12,W_Account.83,W_Contact.83,2017-04-07 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,TVs,Medium,Compliant,Item Damaged,Free,68.6475707,Closed,True,24,East Sales,1,14,True,False,true
W_Case.44,W_Services_User.8,W_Account.83,W_Contact.83,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Video Games,High,Compliant,Hardware Question,Free,60.12237128,Closed,True,48,Central Sales,1,14,False,False,false
W_Case.45,W_Services_User.9,W_Account.83,W_Contact.83,2017-04-07 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Video Games,High,Compliant,Late Delivery,Free,60.5629079,Closed,False,24,Central Sales,1,14,False,True,false
W_Case.46,W_Services_User.13,W_Account.93,W_Contact.93,2017-01-25 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Cameras,Medium,Violation,Hardware Question,Silver,70.26831037,Closed,False,96,East Sales,1,3,False,False,false
W_Case.47,W_Services_User.17,W_Account.93,W_Contact.93,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Cameras,Medium,Compliant,Late Delivery,Silver,73.9231327,Closed,True,48,South Sales,1,3,False,False,true
W_Case.48,W_Services_User.8,W_Account.93,W_Contact.93,2017-02-06 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Cameras,Medium,Violation,Item Damaged,Silver,72.96591733,Closed,True,84,Central Sales,1,3,True,False,true
W_Case.49,W_Services_User.11,W_Account.95,W_Contact.95,2017-02-18 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Cell Phones,Low,Violation,Hardware Question,Basic,63.73096447,Closed,False,72,East Sales,1,15,True,False,true
W_Case.50,W_Services_User.15,W_Account.95,W_Contact.95,2017-01-01 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Computers,High,Violation,Item Damaged,Platinum,64.4271211,Closed,True,120,East Sales,1,15,False,True,false
W_Case.51,W_Services_User.6,W_Account.95,W_Contact.95,2017-03-26 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Computers,Medium,Compliant,Item Damaged,Platinum,67.1791153,Closed,False,36,Central Sales,1,15,True,False,false
W_Case.52,W_Services_User.7,W_Account.101,W_Contact.101,2017-02-18 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,DVD Players,High,Violation,Item Damaged,Silver,62.08846991,Closed,True,72,Central Sales,1,1,False,True,false
W_Case.53,W_Services_User.9,W_Account.103,W_Contact.103,2017-01-25 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,DVD Players,Medium,Violation,Item Damaged,Silver,66.02610587,Closed,True,96,Central Sales,1,1,True,True,true
W_Case.54,W_Services_User.13,W_Account.114,W_Contact.114,2017-04-07 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Home Audio,High,Compliant,Late Delivery,Free,69.20957215,Closed,True,24,East Sales,1,2,False,False,false
W_Case.55,W_Services_User.11,W_Account.118,W_Contact.118,2017-03-26 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Home Audio,Medium,Compliant,Hardware Question,Free,65.58375635,Closed,False,36,East Sales,1,1,False,True,false
W_Case.56,W_Services_User.9,W_Account.119,W_Contact.119,2017-01-01 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Home Audio,Medium,Violation,Late Delivery,Free,66.16388687,Closed,True,120,Central Sales,1,1,False,False,true
W_Case.57,W_Services_User.10,W_Account.125,W_Contact.125,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Tablets,High,Compliant,Hardware Question,Silver,72.79187817,Closed,True,48,Central Sales,1,2,False,True,false
W_Case.58,W_Services_User.14,W_Account.126,W_Contact.126,2017-04-07 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Tablets,Medium,Compliant,Late Delivery,Silver,68.42639594,Closed,False,24,East Sales,1,3,False,False,true
W_Case.59,W_Services_User.14,W_Account.130,W_Contact.130,2017-03-26 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,TVs,High,Compliant,Item Damaged,Free,63.26323423,Closed,True,36,East Sales,1,1,True,True,false
W_Case.60,W_Services_User.10,W_Account.131,W_Contact.131,2017-04-07 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,TVs,High,Compliant,Hardware Question,Free,66.20014503,Closed,False,24,Central Sales,1,2,False,False,false
W_Case.61,W_Services_User.12,W_Account.135,W_Contact.135,2017-02-06 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,TVs,Low,Violation,Late Delivery,Free,64.73168963,Closed,False,84,East Sales,1,3,False,False,true
W_Case.62,W_Services_User.14,W_Account.136,W_Contact.136,2017-01-13 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Video Games,High,Violation,Item Damaged,Free,60.17947788,Closed,True,108,East Sales,1,1,False,True,false
W_Case.63,W_Services_User.12,W_Account.141,W_Contact.141,2017-03-26 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Video Games,Low,Compliant,Late Delivery,Free,60.75054387,Closed,True,36,East Sales,1,4,False,False,true
W_Case.64,W_Services_User.8,W_Account.144,W_Contact.144,2017-01-01 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Cables,Low,Violation,Hardware Question,Silver,61.43292241,Closed,True,120,Central Sales,1,5,False,True,true
W_Case.65,W_Services_User.15,W_Account.146,W_Contact.146,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Cameras,High,Compliant,Item Damaged,Silver,70.00725163,Closed,True,48,East Sales,1,1,False,False,false
W_Case.66,W_Services_User.6,W_Account.152,W_Contact.152,2017-03-26 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Cell Phones,High,Compliant,Item Damaged,Basic,65.76142132,Closed,True,36,Central Sales,1,1,False,True,false
W_Case.67,W_Services_User.7,W_Account.154,W_Contact.154,2017-03-26 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Cell Phones,High,Compliant,Late Delivery,Basic,67.36040609,Closed,True,36,Central Sales,1,1,True,True,false
W_Case.68,W_Services_User.6,W_Account.157,W_Contact.157,2017-04-07 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,Cell Phones,Medium,Compliant,Late Delivery,Basic,65.43147208,Closed,False,24,Central Sales,1,1,False,True,true
W_Case.69,W_Services_User.10,W_Account.161,W_Contact.161,2017-03-02 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,Computers,High,Violation,Item Damaged,Platinum,65.98259608,Closed,True,60,Central Sales,1,1,False,False,false
W_Case.70,W_Services_User.20,W_Account.169,W_Contact.169,2017-01-13 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,DVD Players,High,Violation,Late Delivery,Silver,61.93618564,Closed,True,108,South Sales,1,1,False,False,false
W_Case.71,W_Services_User.7,W_Account.170,W_Contact.170,2017-01-25 20:27:49,2017-05-01 20:27:49,Chat,Tier 1,DVD Players,High,Violation,Hardware Question,Silver,61.93618564,Closed,False,96,Central Sales,1,1,False,False,false
W_Case.72,W_Services_User.10,W_Account.172,W_Contact.172,2017-03-14 20:27:49,2017-05-01 20:27:49,Chat,Tier 2,DVD Players,Medium,Compliant,Hardware Question,Silver,64.54677302,Closed,False,48,Central Sales,1,1,True,True,true
W_Case.73,W_Services_User.3,W_Account.180,W_Contact.180,2017-03-01 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Home Audio,High,Violation,Item Damaged,Free,73.05293691,Closed,False,60,West Sales,2,6,False,True,false
W_Case.74,W_Services_User.7,W_Account.181,W_Contact.181,2017-04-06 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Home Audio,Medium,Compliant,Late Delivery,Free,67.32414793,Closed,True,24,Central Sales,2,1,False,True,true
W_Case.75,W_Services_User.9,W_Account.182,W_Contact.182,2017-03-25 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Home Audio,Low,Compliant,Hardware Question,Free,68.77447426,Closed,True,36,Central Sales,2,1,True,False,true
W_Case.76,W_Services_User.1,W_Account.183,W_Contact.183,2016-12-31 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Tablets,High,Violation,Late Delivery,Silver,68.93401015,Closed,True,120,West Sales,2,3,False,True,false
W_Case.77,W_Services_User.11,W_Account.183,W_Contact.183,2017-03-25 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Tablets,High,Compliant,Late Delivery,Silver,71.37055838,Closed,False,36,East Sales,2,3,True,True,false
W_Case.78,W_Services_User.15,W_Account.186,W_Contact.186,2016-12-31 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Tablets,Medium,Violation,Item Damaged,Silver,67.10659898,Closed,True,120,East Sales,2,5,False,True,true
W_Case.79,W_Services_User.7,W_Account.186,W_Contact.186,2017-01-24 20:27:49,2017-04-30 20:27:49,Chat,Tier 3,Tablets,Low,Violation,Late Delivery,Silver,70.35532995,Closed,True,96,Central Sales,2,5,False,False,true
W_Case.80,W_Services_User.15,W_Account.189,W_Contact.189,2017-03-13 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,TVs,High,Compliant,Item Damaged,Free,64.89485134,Closed,True,48,East Sales,2,3,True,False,false
W_Case.81,W_Services_User.16,W_Account.190,W_Contact.190,2017-02-05 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,TVs,Medium,Violation,Late Delivery,Free,65.54749819,Closed,True,84,South Sales,2,1,False,False,true
W_Case.82,W_Services_User.5,W_Account.191,W_Contact.191,2017-03-13 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,TVs,Medium,Compliant,Hardware Question,Free,68.97389413,Closed,False,48,West Sales,2,1,True,True,true
W_Case.83,W_Services_User.4,W_Account.194,W_Contact.194,2017-03-25 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Video Games,High,Compliant,Hardware Question,Free,60.30184917,Closed,False,36,West Sales,2,1,False,True,false
W_Case.84,W_Services_User.11,W_Account.198,W_Contact.198,2017-02-05 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Video Games,Medium,Violation,Hardware Question,Free,60.10605511,Closed,True,84,East Sales,2,1,False,True,true
W_Case.85,W_Services_User.7,W_Account.204,W_Contact.204,2017-03-13 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Cables,Medium,Compliant,Late Delivery,Silver,61.48513416,Closed,False,48,Central Sales,2,4,False,True,false
W_Case.86,W_Services_User.16,W_Account.204,W_Contact.204,2016-12-31 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Cables,Medium,Violation,Item Damaged,Silver,61.26758521,Closed,False,120,South Sales,2,4,False,False,true
W_Case.87,W_Services_User.6,W_Account.207,W_Contact.207,2017-03-25 20:27:49,2017-04-30 20:27:49,Chat,Tier 3,Cables,Low,Compliant,Hardware Question,Silver,61.78970268,Closed,True,36,Central Sales,2,1,False,False,true
W_Case.88,W_Services_User.15,W_Account.213,W_Contact.213,2017-04-06 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Cameras,Medium,Compliant,Hardware Question,Silver,71.79115301,Closed,False,24,East Sales,2,1,True,True,true
W_Case.89,W_Services_User.12,W_Account.216,W_Contact.216,2017-03-25 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Cell Phones,High,Compliant,Hardware Question,Basic,65.68527919,Closed,True,36,East Sales,2,13,False,True,false
W_Case.90,W_Services_User.14,W_Account.219,W_Contact.219,2017-03-13 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Computers,Medium,Compliant,Late Delivery,Platinum,67.05946338,Closed,False,48,East Sales,2,1,False,False,true
W_Case.91,W_Services_User.13,W_Account.223,W_Contact.223,2017-03-25 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,DVD Players,High,Compliant,Late Delivery,Silver,63.08919507,Closed,True,36,East Sales,2,2,False,False,false
W_Case.92,W_Services_User.15,W_Account.227,W_Contact.227,2017-03-25 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Headphones,High,Compliant,Hardware Question,Silver,64.91370558,Closed,False,36,East Sales,2,1,False,False,false
W_Case.93,W_Services_User.2,W_Account.230,W_Contact.230,2017-04-18 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Headphones,High,Compliant,Item Damaged,Silver,68.59898477,Closed,False,12,West Sales,2,1,False,True,false
W_Case.94,W_Services_User.10,W_Account.231,W_Contact.231,2017-01-24 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Headphones,Medium,Violation,Hardware Question,Silver,62.34517766,Closed,False,96,Central Sales,2,1,True,False,false
W_Case.95,W_Services_User.6,W_Account.232,W_Contact.232,2017-04-18 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Headphones,Medium,Compliant,Late Delivery,Silver,64.54822335,Closed,False,12,Central Sales,2,2,False,True,true
W_Case.96,W_Services_User.8,W_Account.239,W_Contact.239,2017-04-06 20:27:49,2017-04-30 20:27:49,Chat,Tier 3,Home Audio,Low,Compliant,Hardware Question,Free,68.48440899,Closed,True,24,Central Sales,2,5,True,False,true
W_Case.97,W_Services_User.10,W_Account.242,W_Contact.242,2017-03-13 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Tablets,Low,Compliant,Late Delivery,Silver,76.95431472,Closed,True,48,Central Sales,2,1,False,False,true
W_Case.98,W_Services_User.17,W_Account.244,W_Contact.244,2017-01-24 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,TVs,High,Violation,Item Damaged,Free,62.9369108,Closed,False,96,South Sales,2,12,True,False,false
W_Case.99,W_Services_User.6,W_Account.244,W_Contact.244,2017-01-12 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,TVs,High,Violation,Late Delivery,Free,66.52646846,Closed,True,108,Central Sales,2,12,False,False,false
W_Case.100,W_Services_User.9,W_Account.244,W_Contact.244,2017-03-01 20:27:49,2017-04-30 20:27:49,Chat,Tier 3,TVs,Low,Violation,Late Delivery,Free,65.54749819,Closed,True,60,Central Sales,2,12,False,True,true
W_Case.101,W_Services_User.10,W_Account.244,W_Contact.244,2017-04-18 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Video Games,High,Compliant,Late Delivery,Free,60.31000725,Closed,False,12,Central Sales,2,12,False,False,false
W_Case.102,W_Services_User.8,W_Account.244,W_Contact.244,2017-02-05 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Video Games,Medium,Violation,Item Damaged,Free,60.42422045,Closed,True,84,Central Sales,2,12,False,True,false
W_Case.103,W_Services_User.20,W_Account.245,W_Contact.245,2017-04-06 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Video Games,Medium,Compliant,Late Delivery,Free,60.2284264,Closed,False,24,South Sales,2,1,False,False,true
W_Case.104,W_Services_User.7,W_Account.249,W_Contact.249,2017-01-24 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Cables,High,Violation,Late Delivery,Free,61.40971719,Closed,True,96,Central Sales,2,1,False,True,false
W_Case.105,W_Services_User.14,W_Account.250,W_Contact.250,2017-04-06 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Cables,High,Compliant,Item Damaged,Silver,61.31979695,Closed,True,24,East Sales,2,1,False,False,false
W_Case.106,W_Services_User.2,W_Account.252,W_Contact.252,2016-12-31 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Cables,High,Violation,Item Damaged,Silver,60.88469906,Closed,True,120,West Sales,2,1,False,False,false
W_Case.107,W_Services_User.12,W_Account.257,W_Contact.257,2017-03-13 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Cameras,Medium,Compliant,Late Delivery,Silver,73.61856418,Closed,True,48,East Sales,2,1,False,False,true
W_Case.108,W_Services_User.14,W_Account.258,W_Contact.258,2016-12-31 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Cameras,Low,Violation,Hardware Question,Silver,68.09282088,Closed,True,120,East Sales,2,1,False,True,true
W_Case.109,W_Services_User.10,W_Account.261,W_Contact.261,2017-04-18 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Cell Phones,High,Compliant,Hardware Question,Basic,66.24365482,Closed,False,12,Central Sales,2,2,True,False,false
W_Case.110,W_Services_User.8,W_Account.262,W_Contact.262,2017-04-18 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Cell Phones,High,Compliant,Hardware Question,Basic,66.11675127,Closed,False,12,Central Sales,2,4,False,True,false
W_Case.111,W_Services_User.15,W_Account.262,W_Contact.262,2017-02-05 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Cell Phones,Medium,Violation,Item Damaged,Basic,65.43147208,Closed,True,84,East Sales,2,4,False,True,true
W_Case.112,W_Services_User.6,W_Account.264,W_Contact.264,2017-01-24 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Computers,High,Violation,Late Delivery,Platinum,65.26468455,Closed,False,96,Central Sales,2,1,True,True,false
W_Case.113,W_Services_User.14,W_Account.265,W_Contact.265,2017-03-01 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Computers,High,Violation,Late Delivery,Platinum,66.34155185,Closed,True,60,East Sales,2,1,True,False,false
